City_ID,City,Lat,Lng,Max Temp (K),Humidity,Cloudiness,Wind Speed,Country,Date
0,Bredasdorp,-34.5322,20.0403,291.4,96,76,1.21,ZA,1706672733
1,College,64.8569,-147.8028,246.14,61,75,1.54,US,1706672734
2,Vila Velha,-20.3297,-40.2925,300.12,94,0,3.6,BR,1706672734
3,Quellón,-43.1167,-73.6167,287.33,93,96,2.39,CL,1706672605
4,Bilibino,68.0546,166.4372,239.43,99,100,0.16,RU,1706672735
5,Margaret River,-33.95,115.0667,300.97,53,0,5.57,AU,1706672736
6,Port-aux-Français,-49.35,70.2167,277.17,74,88,13.7,TF,1706672686
7,Geraldton,-28.7667,114.6,317.38,11,0,5.66,AU,1706672736
8,Udachny,66.4167,112.4,247.84,75,97,1.31,RU,1706672737
9,Kavaratti,10.5669,72.642,300.77,67,16,2.76,IN,1706672735
10,Adamstown,-25.066,-130.1015,298.77,76,100,11.95,PN,1706672738
11,Poronaysk,49.2167,143.1167,259.46,83,65,1.11,RU,1706672738
12,Longyearbyen,78.2186,15.6401,268.06,63,75,5.66,SJ,1706672450
13,Constanța,44.1833,28.65,269.65,77,26,2.83,RO,1706672645
14,Mae Chai,19.346,99.814,299.44,54,30,0.98,TH,1706672740
15,Papatowai,-46.5619,169.4708,291.52,48,76,3.57,NZ,1706672740
16,Kununurra,-15.7667,128.7333,305.14,62,18,4.63,AU,1706672741
17,Naryan-Mar,67.6713,53.087,267.1,92,79,4.92,RU,1706672457
18,Djibo,14.1022,-1.6306,292.37,17,79,4.64,BF,1706672742
19,Tibati,6.4667,12.6333,291.71,26,19,1.87,CM,1706672743
20,Uturoa,-16.7333,-151.4333,302.19,74,89,5.03,PF,1706672743
21,Wailua Homesteads,22.0669,-159.378,296.59,80,75,2.06,US,1706672744
22,Saint-Joseph,-21.3667,55.6167,298.36,81,59,4.49,RE,1706672744
23,Grytviken,-54.2811,-36.5092,276.16,77,20,5.15,GS,1706672551
24,Reno,39.5296,-119.8138,285.17,58,20,2.57,US,1706672745
25,Bethel,41.3712,-73.414,274.46,77,100,3.6,US,1706672745
26,Hammerfest,70.6634,23.6821,276.4,56,20,23.15,NO,1706672745
27,Tiksi,71.6872,128.8694,246.52,97,65,1.67,RU,1706672746
28,Afaahiti,-17.75,-149.2833,302.07,79,85,3.57,PF,1706672746
29,Luanda,-8.8368,13.2343,300.15,2,75,2.06,AO,1706672747
30,Waitangi,-43.9535,-176.5597,290.83,98,100,1.79,NZ,1706672747
31,Ixtapa,20.7,-105.2,296.72,83,40,0.0,MX,1706672748
32,Chuguyevka,44.1653,133.8633,266.12,90,100,3.11,RU,1706672748
33,Cologne,50.9333,6.95,280.91,85,100,3.6,DE,1706672730
34,Lata,40.1629,-8.3327,281.44,78,99,1.94,PT,1706672749
35,Kiunga,-6.1219,141.2906,301.24,79,98,1.66,PG,1706672749
36,Avarua,-21.2078,-159.775,302.18,65,98,4.12,CK,1706672710
37,Mexico,15.0646,120.7198,302.99,53,95,6.24,PH,1706672142
38,Ribeira Grande,38.5167,-28.7,286.91,87,29,3.58,PT,1706672560
39,Vorkuta,67.5,64.0,260.0,95,100,4.16,RU,1706672751
40,Am Timan,11.0297,20.2827,294.14,23,32,2.44,TD,1706672751
41,Blackmans Bay,-43.0167,147.3167,296.22,46,84,3.57,AU,1706672688
42,Ibiza Town,38.9088,1.433,287.48,71,100,2.24,ES,1706672752
43,Iskateley,67.6803,53.1512,267.05,92,78,4.92,RU,1706672752
44,Iqaluit,63.7506,-68.5145,249.09,63,75,5.66,CA,1706672753
45,Hastings,50.8552,0.5729,280.81,31,21,2.0,GB,1706672754
46,Amga,60.8953,131.9608,243.85,90,100,0.97,RU,1706672754
47,Queenstown,-31.8976,26.8753,292.85,86,100,0.68,ZA,1706672755
48,Isafjordur,66.0755,-23.124,267.52,74,62,3.01,IS,1706672755
49,Nha Trang,12.25,109.1833,301.15,73,77,2.75,VN,1706672755
50,Enewetak,11.3474,162.3373,299.73,71,80,9.2,MH,1706672713
51,Holualoa,19.6228,-155.9522,298.06,85,75,4.12,US,1706672491
52,Invercargill,-46.4,168.35,293.16,46,98,4.02,NZ,1706672757
53,Undurkhaan,47.3194,110.6556,247.71,94,32,2.34,MN,1706672758
54,Korla,41.7597,86.1469,269.82,62,87,1.4,CN,1706672758
55,Yellowknife,62.456,-114.3525,261.44,92,100,3.6,CA,1706672571
56,Newman,37.3138,-121.0208,289.98,74,83,0.89,US,1706672759
57,Ushuaia,-54.8,-68.3,281.96,71,20,11.83,AR,1706672759
58,Hamilton,39.1834,-84.5333,276.17,95,100,3.58,US,1706672323
59,West Island,-12.1568,96.8225,303.14,66,40,2.57,CC,1706672760
60,Talnakh,69.4865,88.3972,254.93,79,100,4.49,RU,1706672761
61,Stanley,54.868,-1.6985,277.75,79,0,6.17,GB,1706672761
62,Yanchep,-31.55,115.6833,315.22,30,0,2.74,AU,1706672762
63,Koné,-21.0595,164.8658,299.08,85,89,1.03,NC,1706672762
64,Kyabé,9.4515,18.9449,295.64,21,47,2.56,TD,1706672763
65,Ajdabiya,30.7554,20.2263,281.32,75,50,3.4,LY,1706672763
66,Susuman,62.7833,148.1667,240.92,97,100,0.89,RU,1706672764
67,Hluti,-27.2167,31.6167,291.57,96,29,0.98,SZ,1706672764
68,Tindouf,27.6711,-8.1474,284.4,35,0,2.06,DZ,1706672765
69,Yuzhno-Kurilsk,44.0306,145.8556,271.14,71,100,3.05,RU,1706672765
70,Bezopasnoye,45.6483,41.936,270.23,88,89,2.6,RU,1706672766
71,Ancud,-41.8697,-73.8203,287.23,95,100,2.04,CL,1706672766
72,Puerto Natales,-51.7236,-72.4875,281.48,86,55,1.7,CL,1706672767
73,Saldanha,-33.0117,17.9442,291.18,94,97,2.52,ZA,1706672767
74,Vilyuchinsk,52.9306,158.4028,262.3,66,100,2.22,RU,1706672768
75,Keflavik,64.0049,-22.5624,270.39,93,75,11.83,IS,1706672768
76,Westport,41.1415,-73.3579,275.42,74,100,5.14,US,1706672769
77,Antofagasta,-23.65,-70.4,293.75,79,50,1.86,CL,1706672769
78,Nemuro,43.3236,145.575,271.89,71,100,4.05,JP,1706672770
79,Hermanus,-34.4187,19.2345,293.04,78,100,2.24,ZA,1706672770
80,Edinburgh of the Seven Seas,-37.0676,-12.3116,286.98,57,86,0.09,SH,1706672554
81,Gwanda,-20.9333,29.0,290.41,78,5,2.73,ZW,1706672771
82,Rāmhormoz,31.28,49.6035,288.98,56,30,2.31,IR,1706672771
83,Verkhotur'ye,58.8627,60.8054,255.85,99,58,1.22,RU,1706672671
84,Harrismith,-28.2728,29.1295,288.98,80,96,3.74,ZA,1706672772
85,Camayenne,9.535,-13.6878,299.2,89,75,2.06,GN,1706672773
86,Zhalantun,48.0,122.7167,254.41,65,13,6.98,CN,1706672773
87,Natal,-5.795,-35.2094,299.27,83,20,2.06,BR,1706672582
88,Crane,31.3974,-102.3501,287.41,41,35,3.22,US,1706672774
89,Albany,42.6001,-73.9662,272.69,85,100,2.22,US,1706672528
90,Polyarny,69.1989,33.4478,273.99,73,100,14.77,RU,1706672775
91,Lubang,13.8584,120.124,299.68,79,99,9.24,PH,1706672775
92,Puerto Ayora,-0.7393,-90.3518,298.38,88,95,4.19,EC,1706672694
93,Ponta Delgada,37.7333,-25.6667,287.55,88,40,1.54,PT,1706672644
94,Sisimiut,66.9395,-53.6735,253.6,72,100,7.09,GL,1706672561
95,Pitimbu,-7.4706,-34.8086,298.48,74,6,3.6,BR,1706672777
96,Olonkinbyen,70.9221,-8.7187,269.18,75,100,6.58,SJ,1706672778
97,Vadsø,70.0744,29.7487,276.24,65,20,15.43,NO,1706672778
